game,community_id,Negative,Neutral,Positive,comments,positive_pct,neutral_pct,negative_pct,users,top_terms,top_central_users
BanG Dream,0,14.0,480.0,18.0,512.0,3.52,93.75,2.73,168,"dream, bang, bang dream, anon, just, umiri, ave, girls","@umwatvy, @そとのひと-d2e, @nh4011, @fantasticformula4239, @ささ-r5z"
BanG Dream,1,94.0,163.0,91.0,348.0,26.15,46.84,27.01,161,"play, lol, like, just, vanoray8734, song, notes, im","@4everVampy, @Michirin9801, @ena.inactiveacc9886, @KuroR1zU, @keverites"
BanG Dream,2,64.0,308.0,66.0,438.0,15.07,70.32,14.61,111,"episode, yumemita, like, taki, game, just, anime, new","@andrewfantome4020, @GiantMyGO, @rokiskt, @knexell5894, @masayama5693"
BanG Dream,3,80.0,92.0,55.0,227.0,24.23,40.53,35.24,99,"like, bandori, dub, voice, good, true, sound, it's","@cambrianangel, @Dawgofdawg, @xavier-san4599, @MisonoMika1, @maltodextrins"
BanG Dream,4,63.0,74.0,80.0,217.0,36.87,34.1,29.03,96,"bandori, like, cover, pjsk, love, real, fr, good","@yell0w-man, @__-cm2qo, @justasillyseelie, @みお-b6r, @iamyourmagician"
BanG Dream,5,42.0,109.0,94.0,245.0,38.37,44.49,17.14,95,"bandori, like, cover, pjsk, love, ily, covers, real","@crychic, @cornetgirliee, @majiwarusentosen, @crispychichen, @epitxh"
BanG Dream,6,77.0,79.0,66.0,222.0,29.73,35.59,34.68,93,"bandori, like, pjsk, just, good, lmao, game, song","@Angie-L810, @revenant_birds, @maybeinky, @Autistic_Menace00, @alyssasauc3"
BanG Dream,7,51.0,75.0,21.0,147.0,14.29,51.02,34.69,83,"bandori, better, just, sisters, like, card, theyre, love","@tinyxstyle8809, @agidokiyt2164, @detloid67, @nyanspark, @starrshort6403"
BanG Dream,8,3.0,170.0,10.0,183.0,5.46,92.9,1.64,76,"killkiss, hina, ave, mygo, mugendai, angra, silentlog_user, tgaj9314","@amaguri530, @Arsene-z8p, @hidane2r, @Orange_kawa626, @らっきょ-q5t"
BanG Dream,9,63.0,74.0,21.0,158.0,13.29,46.84,39.87,72,"like, dub, sound, kokoro, just, voice, oh, ded","@GrayWolf5000, @somaidraws2743, @Eric-cx8ih, @thaumazei, @mahiruhanayo"
BanG Dream,10,1.0,230.0,7.0,238.0,2.94,96.64,0.42,66,"mg, ras, ras mg, love, popipa, good, mikumiku692, agw","@Fumi.0710, @まっちゅん-q9s, @BLY4152, @ゼタすわ, @EVOL-bh"
BanG Dream,11,15.0,59.0,45.0,119.0,37.82,49.58,12.61,66,"song, best, roselia, got, like, yes, just, i'm","@KagamiKawaiineD35u, @shayn3, @-.bella.-, @lalao.1691, @ri_ciel1020"
BanG Dream,12,43.0,62.0,42.0,147.0,28.57,42.18,29.25,64,"bandori, like, rockstargorlllll, game, pjsk, love, just, yeah","@bugkasa, @OwlsV, @SleepyZzz956, @fstut33tfnmy, @mfyuq"
