gameLabel,videoId,videoTitle,Negative,Neutral,Positive,total,positive_pct,neutral_pct,negative_pct
BanG Dream,-PRjas_vdoQ,[BanG Dream! FILM LIVE] Roselia ー &quot;FIRE BIRD&quot;,33.0,178.0,208.0,419.0,49.64,42.48,7.88
BanG Dream,0PGfVrLeXUU,【公式ライブ映像】Ave Mujica「KiLLKiSS」（Ave Mujica 4th LIVE「Adventus」）【期間限定】,6.0,515.0,118.0,639.0,18.47,80.59,0.94
BanG Dream,2Kks_0_w5JE,【期間限定】ミニアニメ「元祖！バンドリちゃん」第29話「サバイバルタワーの試練」,16.0,269.0,25.0,310.0,8.06,86.77,5.16
BanG Dream,2NK0jGg-qEc,pjsk addict tries bandori (warning chaotic),48.0,72.0,78.0,198.0,39.39,36.36,24.24
BanG Dream,6HqfrNvc6fs,【期間限定】ミニアニメ「元祖！バンドリちゃん」第23話「放課後トークタイム」,33.0,480.0,41.0,554.0,7.4,86.64,5.96
BanG Dream,8NeePrEBw2E,Types of Bang Dream Girls Band Party/Bandori Players,151.0,296.0,124.0,571.0,21.72,51.84,26.44
BanG Dream,A_7cXDcqqn4,BangDream! [JP] (Bandori) – &quot;KIRAMEKI Festival&quot; Gacha  (January/2022),20.0,34.0,73.0,127.0,57.48,26.77,15.75
BanG Dream,BpZAUDOcIRs,WHAT IS BANDORI COOKING?! 😭😭🍳#shorts #bandori,149.0,201.0,59.0,409.0,14.43,49.14,36.43
BanG Dream,DlXEp6wyUJ4,【期間限定】ミニアニメ「元祖！バンドリちゃん」第24話「ドリフティング・クラスルーム」,20.0,410.0,46.0,476.0,9.66,86.13,4.2
BanG Dream,E29obp6ngu4,FIRE BIRD Expert FULL COMBO (Bandori JP),76.0,133.0,62.0,271.0,22.88,49.08,28.04
BanG Dream,LN_Mzv9PyaQ,bandori speed... 0??????,177.0,161.0,73.0,411.0,17.76,39.17,43.07
BanG Dream,MATHRPeYqgs,【期間限定】ミニアニメ「元祖！バンドリちゃん」第25話「宇田川催眠波」,7.0,361.0,30.0,398.0,7.54,90.7,1.76
BanG Dream,PGFqLLCOkkM,BanG Dream! Season 1 Episode 1!,36.0,143.0,97.0,276.0,35.14,51.81,13.04
BanG Dream,QjLxoU9OriA,the hardest song ever in bandori O_O,148.0,200.0,95.0,443.0,21.44,45.15,33.41
BanG Dream,RHjuG_IM8gg,bandori covers after project sekai feels like,43.0,83.0,57.0,183.0,31.15,45.36,23.5
BanG Dream,SvK3cTWDeRE,『転生林檎』Covered by Roselia×＋α／あるふぁきゅん。PV（フルサイズver.）【エクストラ楽曲】,12.0,414.0,153.0,579.0,26.42,71.5,2.07
BanG Dream,UZf_b6ZG-mA,BanG Dream (Bandori) Dub Is Cursed,114.0,105.0,34.0,253.0,13.44,41.5,45.06
BanG Dream,UdBDYSPSq4s,【期間限定】ミニアニメ「元祖！バンドリちゃん」第12話「天体観測」,22.0,432.0,31.0,485.0,6.39,89.07,4.54
BanG Dream,W0DCsoJPCa8,「KiLLKiSS」（TVアニメ「BanG Dream! Ave Mujica」#1 挿入歌）,4.0,357.0,70.0,431.0,16.24,82.83,0.93
BanG Dream,YJsiWuSVmYI,i edited the bandori english dub out of context,266.0,211.0,132.0,609.0,21.67,34.65,43.68
BanG Dream,aXcLtWwe5JM,comparison of Bandori and PJSK cover songs,124.0,225.0,320.0,669.0,47.83,33.63,18.54
BanG Dream,crB6tL2WoFk,comparison of Bandori and PJSK cover songs (pt. 2),121.0,253.0,358.0,732.0,48.91,34.56,16.53
BanG Dream,gukAHSLnPDc,The Downfall Of Bandori EN... #shorts,73.0,38.0,24.0,135.0,17.78,28.15,54.07
BanG Dream,hG-O-JMfwrI,BanG Dream! Girls Band Party!☆PICO Episode 24 (with English subtitles),75.0,416.0,208.0,699.0,29.76,59.51,10.73
BanG Dream,oWVriKBQLGk,【期間限定】ミニアニメ「元祖！バンドリちゃん」第30話「ビーフジャーキーできるかな」,18.0,237.0,17.0,272.0,6.25,87.13,6.62
BanG Dream,o_ye_LcKaV0,【期間限定】ミニアニメ「元祖！バンドリちゃん」第10話「Minna na cayosi.」,43.0,476.0,51.0,570.0,8.95,83.51,7.54
BanG Dream,u77D1tZPi6w,【期間限定】ミニアニメ「元祖！バンドリちゃん」第26話「魔法少女パッピームジゴ」,16.0,505.0,46.0,567.0,8.11,89.07,2.82
BanG Dream,vCtvCf61uUQ,新作モバイルゲーム「BanG Dream! Our Notes」ティザーPV,39.0,527.0,100.0,666.0,15.02,79.13,5.86
BanG Dream,vMHCWDr4VXc,Roselia「LOUDER」Chronicle Movie,4.0,84.0,93.0,181.0,51.38,46.41,2.21
BanG Dream,zdaBvypCpN4,【期間限定】ミニアニメ「元祖！バンドリちゃん」第11話「どきどき☆関係者挨拶」,16.0,354.0,45.0,415.0,10.84,85.3,3.86
Project Sekai,-8iIb7hD3P0,everything i did to reach TOP 50 in a project sekai event (my tiering experience),196.0,204.0,243.0,643.0,37.79,31.73,30.48
Project Sekai,-ykBgQ4QRGk,WHO hasn&#39;t CRIED so far?? 🤔🧐 #projectsekai,200.0,362.0,91.0,653.0,13.94,55.44,30.63
Project Sekai,2-mpNfv1qro,which is the best project sekai group?,45.0,118.0,217.0,380.0,57.11,31.05,11.84
Project Sekai,8gXG-Ju5rYM,project sekai is ok I guess 🤷‍♀️,175.0,265.0,190.0,630.0,30.16,42.06,27.78
Project Sekai,9cc11nwft7Q,the song picker chose THIS song? | Project Sekai,132.0,284.0,134.0,550.0,24.36,51.64,24.0
Project Sekai,9lGSfMsSFjs,Rui is the Most CONTROVERSIAL Character #shorts #projectsekai,191.0,121.0,42.0,354.0,11.86,34.18,53.95
Project Sekai,AkZuyPCxiVI,when melt chart | Project Sekai,191.0,264.0,98.0,553.0,17.72,47.74,34.54
Project Sekai,EZeyo3rk0GY,Ranking Project Sekai Characters | WHO&#39;S THE BEST PROJECT SEKAI CHARACTER?,35.0,43.0,89.0,167.0,53.29,25.75,20.96
Project Sekai,LR7kjS16NNM,Which Proseka characters could I fight??? #shorts,241.0,340.0,117.0,698.0,16.76,48.71,34.53
Project Sekai,MHExcmscd9U,What you should know before watching Project Sekai Movie,35.0,109.0,154.0,298.0,51.68,36.58,11.74
Project Sekai,MTS6pUIbPVc,[Project Sekai] How to reach [S] score rank &amp; Challenge Show Guide,76.0,170.0,121.0,367.0,32.97,46.32,20.71
Project Sekai,NQ9cpH8eegY,BE CAREFUL!! You CAN GET BANNED if you SAY THIS!! #projectsekai,44.0,79.0,14.0,137.0,10.22,57.66,32.12
Project Sekai,SmOs9EN9G4k,A cynical review of the Hatsune Miku gacha game -  Project Sekai: Colorful Stage,83.0,112.0,102.0,297.0,34.34,37.71,27.95
Project Sekai,_WgN8txjzZs,this append chart needs fingers and your foot #projectsekai,86.0,230.0,73.0,389.0,18.77,59.13,22.11
Project Sekai,fYvNXlqIQx4,Grrrls meme #projectsekai #pjsk #vocaloid #meme #trend #colourfulstage,153.0,567.0,199.0,919.0,21.65,61.7,16.65
Project Sekai,feibXPz9lww,Non pjsk players what do you think? #projectsekai #projectsekaicolorfulstage #guess #fun #viral #fyp,129.0,387.0,83.0,599.0,13.86,64.61,21.54
Project Sekai,geCjXOGYoGs,NEW SONG JUST CAME OUT AND WHAT IS THIS?! #projectsekai,46.0,155.0,35.0,236.0,14.83,65.68,19.49
Project Sekai,hZqCRss-dMw,Ranking Every Mobile Game Ever 18: Hatsune Miku: Colorful Stage/ Project Sekai,25.0,90.0,60.0,175.0,34.29,51.43,14.29
