gameLabel,source,target,weight
Project Sekai,UCJcACANo56_zUBin2etlrWA,UCg9Meu8B0IVnDFuz18ypRKw,6
Project Sekai,UCWBKofAlm7p0zBiflv4t5yQ,UCUpCmD6GBAzUkDs8RGa1RXg,6
Project Sekai,UC4gPs9ehvHk-bcW208bl6_w,UCQh_96490RR7VwjdMKyGr6w,5
Project Sekai,UCBhiU3P4SMgOR7ARfzghF1Q,UCNqlayfDQt1yA6CefPGi4UQ,5
Project Sekai,UCJcACANo56_zUBin2etlrWA,UCFWdw7976Y8_tUpXz8Gfryg,5
Project Sekai,UCRX3A3J9tb0hwnZD-5I50SA,UCDzNSrWu7ZPOFcL_ghfkWhA,5
Project Sekai,UCyStnAgP-rvHejwKjwlHH2Q,UCimico5bzJd1BH_oxj0Hc-g,5
Project Sekai,UC1anH43pE6OfQFZDPB4DhjA,UCs5enXdhXRneG0ZjVGiUKTA,4
Project Sekai,UCDx_jn_RYaMg0loSQ0ibIOg,UCuItYCF-9sc6QDZIolHsxwQ,4
Project Sekai,UCGXHFAyQX6C1JFYUkhIt88Q,UCFAHnUG4sk5DswLiSiARYQg,4
Project Sekai,UCJcACANo56_zUBin2etlrWA,UCtdkmKxuDnJSnz-PpMjQqfA,4
Project Sekai,UCOdGoMW4AOMl9oh3od3SO8g,UC0zikVl8e5BjZ0sJalDY_Ng,4
Project Sekai,UCOlmQkxpG0GamShJHdr1_Bw,UCvtzL84hTRL_YXRoN_qhPww,4
Project Sekai,UCUHRBaGMUtmUSkuLZuA7tDA,UCyA_iBI9PvHtaUvGUZaGcYw,4
Project Sekai,UCdS3EVfqhKPEFdBhmgO1_MQ,UCvrototA6bMQTnWfWVQ0Mmw,4
Project Sekai,UCf1BtjYF5hsP091kQ-zJSDg,UCTrDhKL6jQrvClPIJT-aLCA,4
Project Sekai,UChhXtQQC34WigoKeflnrepA,UC6rCfGPV5m-2ayhmE4dNMVQ,4
Project Sekai,UCj5MEEyD05J-BvjB3pcdnOQ,UCrfrsvaDWoXqTXBnULfHkCA,4
Project Sekai,UClRc8Knxlxo3FBfwLIXFPPQ,UCd0hvesKFoeZP5994FXkpDg,4
Project Sekai,UCmqlsojckM-rw3--cwv_Xow,UCFzdmmP8oWtyVhV7zD6-_Jw,4
Project Sekai,UC0ZEtZu5rlY59N4hzWuBilQ,UC9jTz_hg9uMg4v-fLPDqcSw,3
Project Sekai,UC2n2OLJKolGGL9Q_Lo2Nscg,UCLHkFPiX7ikQTt3zYOOaJAA,3
Project Sekai,UC4O0loVOQIn40MU_-QJ5kCQ,UCEskD6WomiGfsjjhDg4vucQ,3
Project Sekai,UC4ecun8hYCZxYpmpyi3aBEw,UCQX0Nv_NQBsXCCvWsUS2HVg,3
Project Sekai,UC5QjhvN7peHEaHS5RRJSWpw,UCNd_m7uiNybhF-XHul_FlFg,3
Project Sekai,UC62vB__3rUpfcHFI0t3CFMA,UCvti80YJguHkZaojeVCwesA,3
Project Sekai,UC6UokkXb6LOfaG2EEQwGgGA,UC1j9bSQvdXYsm58NrN0HqUw,3
Project Sekai,UC6jFckojafEatUui7hHjyTQ,UCSo33Gp4BmtaGDjyYHMKSWA,3
Project Sekai,UC74FcYIbcJJPfL39pJElV0g,UCmdnwleRF-ekx5tEQW2xizw,3
Project Sekai,UC8sUhf2wPLPB2xGrHvOos4g,UCGGSWst7dLGMmd3Efk902uQ,3
Project Sekai,UC8sUhf2wPLPB2xGrHvOos4g,UCkXrUhBKy0An4mWFlMg2Jwg,3
Project Sekai,UCA0ZA0SWlG_oEPC74daATsA,UCQ5M9D5vCo94hdZ-QfxL7-w,3
Project Sekai,UCAWA6lr-9-4IfKeEsWFBzMw,UCVQnvBttq6ZAAFlcnloYTfQ,3
Project Sekai,UCBCfpWdHC5OFQpqPzEml7DQ,UCc_OXk1HXO2kGOG2KydExmw,3
Project Sekai,UCC5WTLz1lWaMxywr9EWZkAA,UCAiwE4NDNXzpSNj1HTqYJLw,3
Project Sekai,UCEbtqTN9WqguWfifL3Sl2mw,UCwVJmUdTvc94BFM6qr1f9zw,3
Project Sekai,UCEm1gCWXU7-5ILpjwyVyVPw,UCTYQvlpn1hxh3DXUukxG9XA,3
Project Sekai,UCJ0XDn2DuhEQa_bpCWuLanw,UCM9PX1PMyTK38IUcTAaoDxA,3
Project Sekai,UCMs4VSS-GeAhTVK6GxGl_-A,UCR7K_CQfWBf454HlM53fj5A,3
Project Sekai,UCNJl0xomO3H_LzXX07wBZYg,UCZ-X33g_dllQodnU_kxerOg,3
Project Sekai,UCODem_TUmnguylk7RssvcmQ,UCUN9eBJ-CjPeN2cv-MQcnvg,3
Project Sekai,UCPubI7ymGarv-Z9EcnfLKEg,UCk9uo5446pwjiAwExwhfSSg,3
Project Sekai,UCStHuKTYEgqs67hTrvBasSQ,UCWt-LW6LshuiZyhSh16dc6w,3
Project Sekai,UCUzd9mWGCCcmtHOYrIiAwMA,UCYnnW9g-hFm7cCzmN_2CVqQ,3
Project Sekai,UCVKozLoofMQ8vA0xd747Npg,UCtdkmKxuDnJSnz-PpMjQqfA,3
Project Sekai,UCVmPWTR8GfP17jbfWOjPvDA,UCLHkFPiX7ikQTt3zYOOaJAA,3
Project Sekai,UCYvHg9tYTfs3f3P-rRUKWNA,UCCQ3ACEEmjz0xalk_ovLoNA,3
Project Sekai,UCZtTzOB15Qx8KYI1DERKT3w,UC0qxTKOk_9Q4Q9tG60WUelQ,3
Project Sekai,UCa02gc0x9Ph5nEZh0sToEFw,UC_isakGAVLePYe_3BVrpQ6g,3
Project Sekai,UCbX7_vYilaFzS08LRkDe3Ig,UC2KoSqxoSVip__Y7mOjHQsQ,3
Project Sekai,UCcp6nmcvEaJkaGWF_b1-7Bw,UCtdkmKxuDnJSnz-PpMjQqfA,3
Project Sekai,UCdQMN3lxubO7lJKEHv1ABew,UCUtE-siyQgiQmzaxJKjmQow,3
Project Sekai,UCdUWWD1kzTjOpVJgt23NQ6Q,UC-JUd1PtR69LUuxr10pHPjA,3
Project Sekai,UCe_ZsyC0-A8dWEcQ5dlYokQ,UCiyYhII0ok7vnes-y12BC0A,3
Project Sekai,UCgdmUwq59b-1_ZUZo7GNuKw,UCZ-X33g_dllQodnU_kxerOg,3
Project Sekai,UChH3BUX1pzOGRpBAOk6g1nQ,UC3fDV8FISD08AVP4kPls0Qg,3
Project Sekai,UChhXtQQC34WigoKeflnrepA,UC9aRFQ8_QY204J7Elo7eHkQ,3
Project Sekai,UCiRer4-0nK2VYfO3IneAUZg,UCUYcMocjhlyRXPzO3t5WSmg,3
Project Sekai,UCjvIr5I5HmAQk_AcfMLSh-g,UCYAqEUJfxT5-YMe0U38CINQ,3
Project Sekai,UCkAnIOATO-3FzdKX4AO1hoQ,UCNd_m7uiNybhF-XHul_FlFg,3
Project Sekai,UCn-uldzHeAi4brIbM3-b3Kw,UCFU2C7ocepfXN6uuDA7MqAw,3
Project Sekai,UCpCaiJpOWz97nE6bPIR34Vw,UCESk9vKnIVspIem7EzxAU0A,3
Project Sekai,UCpCaiJpOWz97nE6bPIR34Vw,UCoIq_Xs4NeUV_bS_zwgWlfQ,3
Project Sekai,UCpS6iFSmGlUtBL9V4hMnIVg,UC0qxTKOk_9Q4Q9tG60WUelQ,3
Project Sekai,UCpceiM3j_Tmpz9jCM0eKWFw,UCj8IdC5gzskp5bSH4Br_mbA,3
Project Sekai,UCqCCqATJX4XsPMlF5YQRSIQ,UC0qxTKOk_9Q4Q9tG60WUelQ,3
Project Sekai,UCqgTxRYYIBo2pyVB2jCdXEg,UCqCCqATJX4XsPMlF5YQRSIQ,3
Project Sekai,UCs-NiJ_KDkgMhS9x5i01JOw,UC_isakGAVLePYe_3BVrpQ6g,3
Project Sekai,UCsaOQcsmshkHhK6xSWobvjg,UCL4fhFQP3c7CDUbgoDiZ4rw,3
Project Sekai,UCt9rofv4Ts9ONQ6qi7mX-zg,UCAqQlPlEkQ_EM4kmkDiH9ow,3
Project Sekai,UCtlR1P_oD3NvzcyRjNtKHig,UCaIGOeOaWFTANgnsDhHlRyA,3
Project Sekai,UCuy2mOqv2PHRpPzWzKOEMvA,UCVQnvBttq6ZAAFlcnloYTfQ,3
Project Sekai,UCvC9i0j1RsQVbiLwvfFXJcw,UCuItYCF-9sc6QDZIolHsxwQ,3
Project Sekai,UCyStnAgP-rvHejwKjwlHH2Q,UCFAHnUG4sk5DswLiSiARYQg,3
