quarter,sentiment,count,model
2018Q4,Positive,29,RoBERTa
2018Q4,Neutral,29,RoBERTa
2018Q4,Negative,6,RoBERTa
2019Q1,Positive,18,RoBERTa
2019Q1,Neutral,23,RoBERTa
2019Q1,Negative,3,RoBERTa
2019Q2,Positive,15,RoBERTa
2019Q2,Neutral,33,RoBERTa
2019Q2,Negative,10,RoBERTa
2019Q3,Positive,7,RoBERTa
2019Q3,Neutral,21,RoBERTa
2019Q3,Negative,3,RoBERTa
2019Q4,Positive,13,RoBERTa
2019Q4,Neutral,17,RoBERTa
2019Q4,Negative,3,RoBERTa
2020Q1,Positive,64,RoBERTa
2020Q1,Neutral,58,RoBERTa
2020Q1,Negative,13,RoBERTa
2020Q2,Positive,18,RoBERTa
2020Q2,Neutral,49,RoBERTa
2020Q2,Negative,12,RoBERTa
2020Q3,Positive,17,RoBERTa
2020Q3,Neutral,26,RoBERTa
2020Q3,Negative,8,RoBERTa
2020Q4,Positive,20,RoBERTa
2020Q4,Neutral,50,RoBERTa
2020Q4,Negative,8,RoBERTa
2021Q1,Positive,16,RoBERTa
2021Q1,Neutral,38,RoBERTa
2021Q1,Negative,9,RoBERTa
2021Q2,Positive,126,RoBERTa
2021Q2,Neutral,256,RoBERTa
2021Q2,Negative,137,RoBERTa
2021Q3,Positive,220,RoBERTa
2021Q3,Neutral,293,RoBERTa
2021Q3,Negative,155,RoBERTa
2021Q4,Positive,70,RoBERTa
2021Q4,Neutral,138,RoBERTa
2021Q4,Negative,76,RoBERTa
2022Q1,Positive,122,RoBERTa
2022Q1,Neutral,129,RoBERTa
2022Q1,Negative,65,RoBERTa
2022Q2,Positive,95,RoBERTa
2022Q2,Neutral,209,RoBERTa
2022Q2,Negative,186,RoBERTa
2022Q3,Positive,239,RoBERTa
2022Q3,Neutral,333,RoBERTa
2022Q3,Negative,279,RoBERTa
2022Q4,Positive,95,RoBERTa
2022Q4,Neutral,129,RoBERTa
2022Q4,Negative,74,RoBERTa
2023Q1,Positive,227,RoBERTa
2023Q1,Neutral,420,RoBERTa
2023Q1,Negative,142,RoBERTa
2023Q2,Positive,82,RoBERTa
2023Q2,Neutral,131,RoBERTa
2023Q2,Negative,57,RoBERTa
2023Q3,Positive,212,RoBERTa
2023Q3,Neutral,227,RoBERTa
2023Q3,Negative,134,RoBERTa
2023Q4,Positive,279,RoBERTa
2023Q4,Neutral,332,RoBERTa
2023Q4,Negative,216,RoBERTa
2024Q1,Positive,332,RoBERTa
2024Q1,Neutral,593,RoBERTa
2024Q1,Negative,321,RoBERTa
2024Q2,Positive,249,RoBERTa
2024Q2,Neutral,642,RoBERTa
2024Q2,Negative,278,RoBERTa
2024Q3,Positive,831,RoBERTa
2024Q3,Neutral,849,RoBERTa
2024Q3,Negative,603,RoBERTa
2024Q4,Positive,258,RoBERTa
2024Q4,Neutral,525,RoBERTa
2024Q4,Negative,257,RoBERTa
2025Q1,Positive,398,RoBERTa
2025Q1,Neutral,1307,RoBERTa
2025Q1,Negative,297,RoBERTa
2025Q2,Positive,417,RoBERTa
2025Q2,Neutral,766,RoBERTa
2025Q2,Negative,506,RoBERTa
2025Q3,Positive,213,RoBERTa
2025Q3,Neutral,540,RoBERTa
2025Q3,Negative,287,RoBERTa
2025Q4,Positive,454,RoBERTa
2025Q4,Neutral,2061,RoBERTa
2025Q4,Negative,424,RoBERTa
2026Q1,Positive,588,RoBERTa
2026Q1,Neutral,2853,RoBERTa
2026Q1,Negative,666,RoBERTa
2026Q2,Positive,253,RoBERTa
2026Q2,Neutral,1543,RoBERTa
2026Q2,Negative,319,RoBERTa
2018Q4,Positive,24,VADER
2018Q4,Neutral,28,VADER
2018Q4,Negative,12,VADER
2019Q1,Positive,19,VADER
2019Q1,Neutral,19,VADER
2019Q1,Negative,6,VADER
2019Q2,Positive,22,VADER
2019Q2,Neutral,25,VADER
2019Q2,Negative,11,VADER
2019Q3,Positive,9,VADER
2019Q3,Neutral,16,VADER
2019Q3,Negative,6,VADER
2019Q4,Positive,12,VADER
2019Q4,Neutral,18,VADER
2019Q4,Negative,3,VADER
2020Q1,Positive,54,VADER
2020Q1,Neutral,63,VADER
2020Q1,Negative,18,VADER
2020Q2,Positive,36,VADER
2020Q2,Neutral,33,VADER
2020Q2,Negative,10,VADER
2020Q3,Positive,20,VADER
2020Q3,Neutral,24,VADER
2020Q3,Negative,7,VADER
2020Q4,Positive,30,VADER
2020Q4,Neutral,43,VADER
2020Q4,Negative,5,VADER
2021Q1,Positive,20,VADER
2021Q1,Neutral,36,VADER
2021Q1,Negative,7,VADER
2021Q2,Positive,219,VADER
2021Q2,Neutral,196,VADER
2021Q2,Negative,104,VADER
2021Q3,Positive,298,VADER
2021Q3,Neutral,251,VADER
2021Q3,Negative,119,VADER
2021Q4,Positive,119,VADER
2021Q4,Neutral,111,VADER
2021Q4,Negative,54,VADER
2022Q1,Positive,148,VADER
2022Q1,Neutral,117,VADER
2022Q1,Negative,51,VADER
2022Q2,Positive,176,VADER
2022Q2,Neutral,207,VADER
2022Q2,Negative,107,VADER
2022Q3,Positive,415,VADER
2022Q3,Neutral,282,VADER
2022Q3,Negative,154,VADER
2022Q4,Positive,148,VADER
2022Q4,Neutral,100,VADER
2022Q4,Negative,50,VADER
2023Q1,Positive,289,VADER
2023Q1,Neutral,399,VADER
2023Q1,Negative,101,VADER
2023Q2,Positive,116,VADER
2023Q2,Neutral,107,VADER
2023Q2,Negative,47,VADER
2023Q3,Positive,289,VADER
2023Q3,Neutral,188,VADER
2023Q3,Negative,96,VADER
2023Q4,Positive,412,VADER
2023Q4,Neutral,285,VADER
2023Q4,Negative,130,VADER
2024Q1,Positive,549,VADER
2024Q1,Neutral,503,VADER
2024Q1,Negative,194,VADER
2024Q2,Positive,398,VADER
2024Q2,Neutral,597,VADER
2024Q2,Negative,174,VADER
2024Q3,Positive,1086,VADER
2024Q3,Neutral,706,VADER
2024Q3,Negative,491,VADER
2024Q4,Positive,370,VADER
