game,authorChannelId,community_id,weighted_degree,in_degree,out_degree,pagerank,betweenness,centrality_group
BanG Dream,UCSTDzD0sQ8dbTf44-R5dMVA,0,40.0,40.0,0.0,0.009792979945338497,0.046648388996575,High centrality
BanG Dream,UCNclYw5uBHCU_NzkdieMljQ,1,18.0,18.0,0.0,0.004891750130173719,0.015117806122194587,High centrality
BanG Dream,UCo94mQrgZn_4fbgHHENceOg,16,20.0,20.0,0.0,0.004265858187540585,0.044191628117094435,High centrality
BanG Dream,UCteXp_OGYCDBIVNHncHFb_g,11,20.0,20.0,0.0,0.004197698740222901,0.01705289221285824,High centrality
BanG Dream,UCRvFbhB4iK3urmUlh40AyyA,17,20.0,20.0,0.0,0.004167978286028474,0.028398155093511845,High centrality
BanG Dream,UCk40eKOLYpghLZFOUf-x0NQ,24,20.0,20.0,0.0,0.004159339280177779,0.0040339199305790465,High centrality
BanG Dream,UC1U-QifF6Es2NoJMy8PKvUQ,7,20.0,20.0,0.0,0.0038008731024696215,0.008961935321504971,High centrality
BanG Dream,UCgpyQn-CmEj1LIdNhxKGCgg,16,20.0,19.0,1.0,0.003784209962060027,0.019549458983405772,High centrality
BanG Dream,UCZWDLFpiyZ-GtFrLIhpkEUw,0,20.0,20.0,0.0,0.003725370446479255,0.01648214751754139,High centrality
BanG Dream,UCQkH2B9PCEkFfPnsUkf19Uw,13,4.0,4.0,0.0,0.003690267294786441,0.012181284410191546,High centrality
BanG Dream,UCmzdMomIrEkMzNNKyTQYHtA,14,19.0,19.0,0.0,0.0035617410801420065,0.02128176790371786,High centrality
BanG Dream,UCfCT_opCsOxr2vYb3Bt6cIg,0,17.0,15.0,2.0,0.0035483249356906437,0.045202995864174464,High centrality
BanG Dream,UCbyWRicYhR55L-2MtOUPL6g,13,20.0,20.0,0.0,0.0032567992575133885,0.017814474764361512,High centrality
BanG Dream,UCn6sPs9yZtri8G-5e9t_Nxw,7,19.0,19.0,0.0,0.003187669535396541,0.00408990814143702,High centrality
BanG Dream,UC2AX-e4_ZX2J8VU54YnhAow,10,19.0,19.0,0.0,0.0031339585154521155,0.14195417846605143,High centrality
BanG Dream,UCqMJOCgIEmtXNCnEFa4j2lw,9,17.0,17.0,0.0,0.00297438133815373,0.013054729832476155,High centrality
BanG Dream,UC5vsgyyPm7DeZyszxAItPwA,12,22.0,20.0,2.0,0.002902666506722853,0.04085629235835918,High centrality
BanG Dream,UCP1gOFrciHMvt9-kNlkUNNg,30,13.0,13.0,0.0,0.0028344109587131357,6.795016987542469e-05,High centrality
BanG Dream,UCYOlIDsw45ZPccY6Bf7djUA,7,19.0,19.0,0.0,0.0028077499340577843,0.010876633205875091,High centrality
BanG Dream,UCsCaF6H613kkLK4h6pFpJwA,1,17.0,17.0,0.0,0.0028067347071882927,0.007313517529825571,High centrality
BanG Dream,UCFIMk070zMO1xofRqrM7p2Q,7,4.0,4.0,0.0,0.0027519157251855906,0.0011174027935069838,High centrality
BanG Dream,UCqHWCMzN7H4pJa2yvyL1CEg,1,16.0,15.0,1.0,0.0027223454417670255,0.011471317496570644,High centrality
BanG Dream,UCc43odAQTyk8d1ufV4xRsGA,16,13.0,13.0,0.0,0.0026844426950267844,0.00697432993582484,High centrality
BanG Dream,UCf4ntHPlHJvcJw060doIalQ,19,13.0,13.0,0.0,0.002645422742063471,0.013468543989658499,High centrality
BanG Dream,UCPsfosif42gwshsKfUCt3Pg,7,17.0,16.0,1.0,0.0026144575053064878,0.017731812814815597,High centrality
BanG Dream,UCMXlpOxHK74Do_GIuUIqRWA,1,20.0,20.0,0.0,0.002579476107253507,0.019909217218171706,High centrality
BanG Dream,UC99ktfger3_kkdniFjJYD-Q,8,20.0,20.0,0.0,0.0025074143921322554,0.01627136625381246,High centrality
BanG Dream,UCiw5H6HQhtwN_s_7v2eMy6A,4,20.0,20.0,0.0,0.0023956149279271456,0.0047495910406442675,High centrality
BanG Dream,UCWk7ntM_djcnCz-tc0HgSRg,31,17.0,17.0,0.0,0.002351179886834894,0.00697432993582484,High centrality
BanG Dream,UC7XHrsBbcqBoV5Izx6cAFbg,15,13.0,13.0,0.0,0.0022997285088511414,0.013348896259145412,High centrality
BanG Dream,UCy_lU00xllqO2PYoqTTDKLg,11,11.0,11.0,0.0,0.0022845273251965153,0.0027935069837674597,High centrality
BanG Dream,UC69NIIWxMi2A26_cC5G_e4w,4,20.0,20.0,0.0,0.002244775759792675,0.015243178918769008,High centrality
BanG Dream,UC-n27SuSbJYxrtWnPCciZbw,28,11.0,11.0,0.0,0.0021781231981542965,0.00832490207037206,High centrality
BanG Dream,UCpZnS6CeLc7rCb9Kn-Sxl8Q,3,11.0,11.0,0.0,0.0021745505984931907,0.010494076830430169,High centrality
BanG Dream,UCNdwl-yEBoMd3CjvDh0yO3A,1,19.0,19.0,0.0,0.0021535396031321856,0.005434168029864516,High centrality
BanG Dream,UC55rmsQPlz2kmNkeZegqdNA,11,3.0,3.0,0.0,0.0021269864061963604,0.027358625453203667,Peripheral
BanG Dream,UC8tfNHmU8-GyIaIMNWYlUpQ,14,11.0,11.0,0.0,0.0021012327806909743,0.0025141562853907137,High centrality
BanG Dream,UCulzAY3Rz4K3_sbxV5Dt27A,4,19.0,19.0,0.0,0.002091234896445218,0.0065515168946652545,High centrality
BanG Dream,UCDDvIdlEMDMuoZbNZIEhN6w,0,12.0,12.0,0.0,0.002035196307865629,0.011411197397041113,High centrality
BanG Dream,UC7xNqpmGM1to4HmWWWzEcfQ,3,10.0,10.0,0.0,0.0019954422506815992,0.008803975044237007,High centrality
BanG Dream,UCFNM_-OWKfHuXE-SdVEk8cA,18,12.0,12.0,0.0,0.0019877141999379805,0.006480148715056451,High centrality
BanG Dream,UCGCY9kOeptW6M4WMzvxTlAg,32,11.0,11.0,0.0,0.001967927657414218,0.0,High centrality
BanG Dream,UC0gQUj0_lyDtIb-hZ6mosuQ,23,8.0,8.0,0.0,0.0019628849883223764,0.0019520023674431046,High centrality
BanG Dream,UCNOQ_6-xJpeBmkR_UPIn_NA,17,15.0,15.0,0.0,0.0019474191769101013,0.0022258084811878696,High centrality
BanG Dream,UCjLC3DShK0B_yKVZK8lNITg,5,8.0,8.0,0.0,0.001905173108668503,0.003631703617763843,High centrality
BanG Dream,UCdgEzQ7Xo5360S3-zU8AlDw,2,33.0,8.0,25.0,0.0018954270391825499,0.1062919001035177,High centrality
BanG Dream,UCxhqaKbp-D1CcaDESoiPQUA,22,9.0,9.0,0.0,0.0018708530418462873,0.007611618939761635,High centrality
BanG Dream,UC4mJbtMKLaJJxSD9NWhpOqA,3,17.0,17.0,0.0,0.0018636160524468125,0.002873542198108045,High centrality
BanG Dream,UCbuQMnchTmvEctv77YIy5Fw,19,9.0,9.0,0.0,0.0018508225211995586,0.006755884901977765,High centrality
