gameLabel,videoId,videoTitle,Negative,Neutral,Positive,total,positive_pct,neutral_pct,negative_pct
BanG Dream,-PRjas_vdoQ,[BanG Dream! FILM LIVE] Roselia ー &quot;FIRE BIRD&quot;,38.0,197.0,184.0,419.0,43.91,47.02,9.07
BanG Dream,0PGfVrLeXUU,【公式ライブ映像】Ave Mujica「KiLLKiSS」（Ave Mujica 4th LIVE「Adventus」）【期間限定】,15.0,554.0,70.0,639.0,10.95,86.7,2.35
BanG Dream,2Kks_0_w5JE,【期間限定】ミニアニメ「元祖！バンドリちゃん」第29話「サバイバルタワーの試練」,7.0,274.0,29.0,310.0,9.35,88.39,2.26
BanG Dream,2NK0jGg-qEc,pjsk addict tries bandori (warning chaotic),35.0,50.0,113.0,198.0,57.07,25.25,17.68
BanG Dream,6HqfrNvc6fs,【期間限定】ミニアニメ「元祖！バンドリちゃん」第23話「放課後トークタイム」,21.0,507.0,26.0,554.0,4.69,91.52,3.79
BanG Dream,8NeePrEBw2E,Types of Bang Dream Girls Band Party/Bandori Players,129.0,182.0,260.0,571.0,45.53,31.87,22.59
BanG Dream,A_7cXDcqqn4,BangDream! [JP] (Bandori) – &quot;KIRAMEKI Festival&quot; Gacha  (January/2022),20.0,25.0,82.0,127.0,64.57,19.69,15.75
BanG Dream,BpZAUDOcIRs,WHAT IS BANDORI COOKING?! 😭😭🍳#shorts #bandori,81.0,183.0,145.0,409.0,35.45,44.74,19.8
BanG Dream,DlXEp6wyUJ4,【期間限定】ミニアニメ「元祖！バンドリちゃん」第24話「ドリフティング・クラスルーム」,21.0,409.0,46.0,476.0,9.66,85.92,4.41
BanG Dream,E29obp6ngu4,FIRE BIRD Expert FULL COMBO (Bandori JP),49.0,111.0,111.0,271.0,40.96,40.96,18.08
BanG Dream,LN_Mzv9PyaQ,bandori speed... 0??????,98.0,189.0,124.0,411.0,30.17,45.99,23.84
BanG Dream,MATHRPeYqgs,【期間限定】ミニアニメ「元祖！バンドリちゃん」第25話「宇田川催眠波」,10.0,353.0,35.0,398.0,8.79,88.69,2.51
BanG Dream,PGFqLLCOkkM,BanG Dream! Season 1 Episode 1!,34.0,122.0,120.0,276.0,43.48,44.2,12.32
BanG Dream,QjLxoU9OriA,the hardest song ever in bandori O_O,113.0,172.0,158.0,443.0,35.67,38.83,25.51
BanG Dream,RHjuG_IM8gg,bandori covers after project sekai feels like,38.0,60.0,85.0,183.0,46.45,32.79,20.77
BanG Dream,SvK3cTWDeRE,『転生林檎』Covered by Roselia×＋α／あるふぁきゅん。PV（フルサイズver.）【エクストラ楽曲】,16.0,479.0,84.0,579.0,14.51,82.73,2.76
BanG Dream,UZf_b6ZG-mA,BanG Dream (Bandori) Dub Is Cursed,50.0,108.0,95.0,253.0,37.55,42.69,19.76
BanG Dream,UdBDYSPSq4s,【期間限定】ミニアニメ「元祖！バンドリちゃん」第12話「天体観測」,20.0,438.0,27.0,485.0,5.57,90.31,4.12
BanG Dream,W0DCsoJPCa8,「KiLLKiSS」（TVアニメ「BanG Dream! Ave Mujica」#1 挿入歌）,13.0,387.0,31.0,431.0,7.19,89.79,3.02
BanG Dream,YJsiWuSVmYI,i edited the bandori english dub out of context,132.0,228.0,249.0,609.0,40.89,37.44,21.67
BanG Dream,aXcLtWwe5JM,comparison of Bandori and PJSK cover songs,94.0,179.0,396.0,669.0,59.19,26.76,14.05
BanG Dream,crB6tL2WoFk,comparison of Bandori and PJSK cover songs (pt. 2),117.0,195.0,420.0,732.0,57.38,26.64,15.98
BanG Dream,gukAHSLnPDc,The Downfall Of Bandori EN... #shorts,34.0,45.0,56.0,135.0,41.48,33.33,25.19
BanG Dream,hG-O-JMfwrI,BanG Dream! Girls Band Party!☆PICO Episode 24 (with English subtitles),86.0,367.0,246.0,699.0,35.19,52.5,12.3
BanG Dream,oWVriKBQLGk,【期間限定】ミニアニメ「元祖！バンドリちゃん」第30話「ビーフジャーキーできるかな」,6.0,247.0,19.0,272.0,6.99,90.81,2.21
BanG Dream,o_ye_LcKaV0,【期間限定】ミニアニメ「元祖！バンドリちゃん」第10話「Minna na cayosi.」,35.0,488.0,47.0,570.0,8.25,85.61,6.14
BanG Dream,u77D1tZPi6w,【期間限定】ミニアニメ「元祖！バンドリちゃん」第26話「魔法少女パッピームジゴ」,33.0,502.0,32.0,567.0,5.64,88.54,5.82
BanG Dream,vCtvCf61uUQ,新作モバイルゲーム「BanG Dream! Our Notes」ティザーPV,29.0,518.0,119.0,666.0,17.87,77.78,4.35
BanG Dream,vMHCWDr4VXc,Roselia「LOUDER」Chronicle Movie,12.0,95.0,74.0,181.0,40.88,52.49,6.63
BanG Dream,zdaBvypCpN4,【期間限定】ミニアニメ「元祖！バンドリちゃん」第11話「どきどき☆関係者挨拶」,18.0,354.0,43.0,415.0,10.36,85.3,4.34
