game,community_id,users,weighted_degree_sum
BanG Dream,0,168,428.0
BanG Dream,1,161,416.0
BanG Dream,2,111,286.0
BanG Dream,3,99,259.0
BanG Dream,4,96,279.0
BanG Dream,5,95,249.0
BanG Dream,6,93,243.0
BanG Dream,7,83,207.0
BanG Dream,8,76,189.0
BanG Dream,9,72,176.0
BanG Dream,10,66,152.0
BanG Dream,11,66,147.0
BanG Dream,12,64,169.0
BanG Dream,13,61,137.0
BanG Dream,14,61,139.0
BanG Dream,15,56,122.0
BanG Dream,16,54,119.0
BanG Dream,17,53,149.0
BanG Dream,18,47,117.0
BanG Dream,19,46,103.0
BanG Dream,20,43,96.0
BanG Dream,21,43,87.0
BanG Dream,22,39,85.0
BanG Dream,23,28,66.0
BanG Dream,24,27,70.0
BanG Dream,25,24,54.0
BanG Dream,26,23,50.0
BanG Dream,27,20,50.0
BanG Dream,28,20,42.0
BanG Dream,29,18,44.0
BanG Dream,30,14,26.0
BanG Dream,31,13,35.0
BanG Dream,32,11,24.0
BanG Dream,33,9,16.0
BanG Dream,34,7,12.0
BanG Dream,35,7,15.0
BanG Dream,36,7,14.0
BanG Dream,37,6,20.0
BanG Dream,38,6,12.0
BanG Dream,39,6,10.0
BanG Dream,40,6,10.0
BanG Dream,41,6,12.0
BanG Dream,42,5,10.0
BanG Dream,43,5,8.0
BanG Dream,44,5,8.0
BanG Dream,45,5,8.0
BanG Dream,46,5,8.0
BanG Dream,47,5,8.0
BanG Dream,48,5,8.0
BanG Dream,49,5,8.0
BanG Dream,50,5,8.0
BanG Dream,51,5,8.0
BanG Dream,52,5,8.0
BanG Dream,53,4,10.0
BanG Dream,54,4,8.0
BanG Dream,55,4,8.0
BanG Dream,56,4,6.0
BanG Dream,57,4,6.0
BanG Dream,58,4,6.0
BanG Dream,59,4,6.0
BanG Dream,60,4,6.0
BanG Dream,61,4,6.0
BanG Dream,62,4,6.0
BanG Dream,63,4,6.0
BanG Dream,64,4,6.0
BanG Dream,65,4,6.0
BanG Dream,66,4,14.0
BanG Dream,67,4,6.0
BanG Dream,68,4,6.0
BanG Dream,69,4,6.0
BanG Dream,70,4,6.0
BanG Dream,71,4,6.0
BanG Dream,72,3,16.0
BanG Dream,73,3,6.0
BanG Dream,74,3,8.0
BanG Dream,75,3,6.0
BanG Dream,76,3,4.0
BanG Dream,77,3,4.0
BanG Dream,78,3,4.0
BanG Dream,79,3,4.0
BanG Dream,80,3,4.0
BanG Dream,81,3,4.0
BanG Dream,82,3,4.0
BanG Dream,83,3,4.0
BanG Dream,84,3,4.0
BanG Dream,85,3,4.0
BanG Dream,86,3,4.0
BanG Dream,87,3,4.0
BanG Dream,88,3,4.0
BanG Dream,89,3,4.0
BanG Dream,90,3,4.0
BanG Dream,91,3,4.0
BanG Dream,92,3,4.0
BanG Dream,93,3,4.0
BanG Dream,94,3,4.0
BanG Dream,95,3,4.0
BanG Dream,96,3,4.0
BanG Dream,97,3,4.0
BanG Dream,98,3,4.0
BanG Dream,99,3,4.0
BanG Dream,100,3,4.0
BanG Dream,101,3,4.0
BanG Dream,102,3,4.0
BanG Dream,103,3,4.0
BanG Dream,104,3,10.0
BanG Dream,105,3,4.0
BanG Dream,106,3,4.0
BanG Dream,107,3,4.0
BanG Dream,108,3,4.0
BanG Dream,109,3,4.0
BanG Dream,110,3,4.0
BanG Dream,111,3,4.0
BanG Dream,112,3,4.0
BanG Dream,113,3,4.0
BanG Dream,114,3,4.0
BanG Dream,115,2,4.0
BanG Dream,116,2,4.0
BanG Dream,117,2,2.0
BanG Dream,118,2,2.0
BanG Dream,119,2,2.0
BanG Dream,120,2,2.0
BanG Dream,121,2,2.0
BanG Dream,122,2,2.0
BanG Dream,123,2,2.0
BanG Dream,124,2,2.0
BanG Dream,125,2,2.0
BanG Dream,126,2,2.0
BanG Dream,127,2,2.0
BanG Dream,128,2,2.0
BanG Dream,129,2,2.0
BanG Dream,130,2,2.0
BanG Dream,131,2,2.0
BanG Dream,132,2,2.0
BanG Dream,133,2,2.0
BanG Dream,134,2,2.0
BanG Dream,135,2,2.0
BanG Dream,136,2,2.0
BanG Dream,137,2,2.0
BanG Dream,138,2,2.0
BanG Dream,139,2,2.0
BanG Dream,140,2,2.0
BanG Dream,141,2,2.0
BanG Dream,142,2,2.0
BanG Dream,143,2,2.0
BanG Dream,144,2,2.0
BanG Dream,145,2,2.0
